geoid,State,age,season,MMWR Year/Week,Deaths from influenza
State,Wisconsin,All,2009-10,201007,0
State,Colorado,All,2009-10,201013,0
State,Massachusetts,All,2009-10,201023,0
State,Ohio,All,2009-10,201021,0
State,Louisiana,All,2009-10,201033,0
State,Delaware,All,2009-10,201019,0
National,NA,All,2009-10,201018,8
State,Nevada,All,2009-10,201023,0
Region,NA,All,2009-10,201001,2
State,Connecticut,All,2009-10,200941,0
State,Alabama,All,2009-10,201008,0
State,Indiana,All,2009-10,201012,0
State,New Mexico,All,2009-10,201025,0
State,Georgia,All,2009-10,201024,0
State,Mississippi,All,2009-10,200947,0
State,Illinois,All,2009-10,201025,0
State,South Carolina,All,2009-10,201038,0
Region,NA,All,2009-10,201020,0
State,Delaware,All,2009-10,201027,0
State,Ohio,All,2009-10,200940,0
State,Illinois,All,2009-10,201024,0
State,New York,All,2009-10,201029,0
State,Arizona,All,2009-10,201009,0
State,Wyoming,All,2009-10,200943,0
State,Georgia,All,2009-10,201006,0
Region,NA,All,2009-10,201029,0
State,Pennsylvania,All,2009-10,200947,0
State,New York City,All,2009-10,200952,0
State,Wyoming,All,2009-10,201007,0
Region,NA,All,2009-10,201035,0
State,Nevada,All,2009-10,200951,0
Region,NA,All,2009-10,201020,0
State,District of Columbia,All,2009-10,201018,0
State,California,All,2009-10,201002,0
State,Texas,All,2009-10,201017,0
State,Connecticut,All,2009-10,201026,0
State,Ohio,All,2009-10,201009,0
State,Rhode Island,All,2009-10,201035,0
State,Pennsylvania,All,2009-10,201016,0
State,Wisconsin,All,2009-10,201022,0
State,Hawaii,All,2009-10,201036,0
State,New York City,All,2009-10,201037,0
State,Florida,All,2009-10,201033,0
National,NA,0-17 years,2009-10,201013,2
State,Texas,All,2009-10,201006,0
State,Kentucky,All,2009-10,201007,0
State,Rhode Island,All,2009-10,201023,0
State,Rhode Island,All,2009-10,201001,0
State,Kansas,All,2009-10,201013,0
National,NA,0-17 years,2009-10,201025,1
State,Oklahoma,All,2009-10,201021,0
Region,NA,All,2009-10,201010,0
State,Connecticut,All,2009-10,200947,0
State,Pennsylvania,All,2009-10,200949,0
State,Indiana,All,2009-10,200950,0
State,Nevada,All,2009-10,200949,0
State,Arkansas,All,2009-10,201023,0
State,West Virginia,All,2009-10,201027,0
State,North Dakota,All,2009-10,200947,0
State,Hawaii,All,2009-10,201007,0
State,New Hampshire,All,2009-10,201008,0
State,Georgia,All,2009-10,201025,0
State,Connecticut,All,2009-10,200950,0
State,West Virginia,All,2009-10,200945,0
Region,NA,All,2009-10,201011,0
State,Connecticut,All,2009-10,201004,0
State,Kansas,All,2009-10,201014,0
State,Pennsylvania,All,2009-10,201017,0
State,West Virginia,All,2009-10,200943,0
State,Louisiana,All,2009-10,200951,0
